"","gdenr","gemeinde_f","value","pct_gde","top_names_table"
"11",11,"Ottenbach",35,1.18,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 35 $/td£  $td£ 1.18% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Hegetschweiler $/td£ $td£ 23 $/td£  $td£ 0.77% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Berli $/td£ $td£ 22 $/td£  $td£ 0.74% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Häberling $/td£ $td£ 20 $/td£  $td£ 0.67% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Leutert $/td£ $td£ 18 $/td£  $td£ 0.61% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Sidler $/td£ $td£ 18 $/td£  $td£ 0.61% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Weber $/td£ $td£ 18 $/td£  $td£ 0.61% $/td£ $/tr£
¢ $/table£"
"12",12,"Rifferswil",18,1.57,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 18 $/td£  $td£ 1.57% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Haller $/td£ $td£ 16 $/td£  $td£ 1.4% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Meier $/td£ $td£ 16 $/td£  $td£ 1.4% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Roth $/td£ $td£ 15 $/td£  $td£ 1.31% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Huber $/td£ $td£ 14 $/td£  $td£ 1.22% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Hurter $/td£ $td£ 14 $/td£  $td£ 1.22% $/td£ $/tr£¢ $/table£"
"13",13,"Stallikon",31,0.8,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 31 $/td£  $td£ 0.8% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Huber $/td£ $td£ 24 $/td£  $td£ 0.62% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Widmer $/td£ $td£ 17 $/td£  $td£ 0.44% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Meyer $/td£ $td£ 15 $/td£  $td£ 0.39% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Keller $/td£ $td£ 14 $/td£  $td£ 0.36% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Saner $/td£ $td£ 14 $/td£  $td£ 0.36% $/td£ $/tr£¢ $/table£"
"14",14,"Wettswil am Albis",47,0.88,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 47 $/td£  $td£ 0.88% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Meier $/td£ $td£ 37 $/td£  $td£ 0.7% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Keller $/td£ $td£ 28 $/td£  $td£ 0.53% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Weber $/td£ $td£ 23 $/td£  $td£ 0.43% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Huber $/td£ $td£ 21 $/td£  $td£ 0.39% $/td£ $/tr£¢ $/table£"
"15",22,"Benken (ZH)",29,3.4,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Strasser $/td£ $td£ 29 $/td£  $td£ 3.4% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Meister $/td£ $td£ 26 $/td£  $td£ 3.05% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Studer $/td£ $td£ 25 $/td£  $td£ 2.93% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Haupt $/td£ $td£ 18 $/td£  $td£ 2.11% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Moser $/td£ $td£ 14 $/td£  $td£ 1.64% $/td£ $/tr£¢ $/table£"
"16",23,"Berg am Irchel",39,6.5,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Fehr $/td£ $td£ 39 $/td£  $td£ 6.5% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Schmid $/td£ $td£ 22 $/td£  $td£ 3.67% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Kramer $/td£ $td£ 20 $/td£  $td£ 3.33% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Schneider $/td£ $td£ 17 $/td£  $td£ 2.83% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Keller $/td£ $td£ 14 $/td£  $td£ 2.33% $/td£ $/tr£¢ $/table£"
"17",24,"Buch am Irchel",32,3.1,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Brandenberger $/td£ $td£ 32 $/td£  $td£ 3.1% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Ganz $/td£ $td£ 23 $/td£  $td£ 2.23% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Weilenmann $/td£ $td£ 23 $/td£  $td£ 2.23% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Schurter $/td£ $td£ 16 $/td£  $td£ 1.55% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Keller $/td£ $td£ 14 $/td£  $td£ 1.36% $/td£ $/tr£¢ $/table£"
"18",25,"Dachsen",35,1.78,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 35 $/td£  $td£ 1.78% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Rubli $/td£ $td£ 31 $/td£  $td£ 1.57% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Frei $/td£ $td£ 19 $/td£  $td£ 0.96% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Leu $/td£ $td£ 17 $/td£  $td£ 0.86% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Meister $/td£ $td£ 16 $/td£  $td£ 0.81% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Schlatter $/td£ $td£ 16 $/td£  $td£ 0.81% $/td£ $/tr£¢ $/table£"
"19",26,"Dorf",17,2.36,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Roth $/td£ $td£ 17 $/td£  $td£ 2.36% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Arbenz $/td£ $td£ 14 $/td£  $td£ 1.94% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Moser $/td£ $td£ 12 $/td£  $td£ 1.66% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Müller $/td£ $td£ 11 $/td£  $td£ 1.53% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Keller $/td£ $td£ 9 $/td£  $td£ 1.25% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Weber $/td£ $td£ 9 $/td£  $td£ 1.25% $/td£ $/tr£¢ $/table£"
"20",27,"Feuerthalen",34,0.89,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 34 $/td£  $td£ 0.89% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Schmid $/td£ $td£ 33 $/td£  $td£ 0.87% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Fischer $/td£ $td£ 23 $/td£  $td£ 0.6% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Gasser $/td£ $td£ 22 $/td£  $td£ 0.58% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Grajçevci $/td£ $td£ 22 $/td£  $td£ 0.58% $/td£ $/tr£¢ $/table£"
"21",28,"Flaach",78,5.24,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Gisler $/td£ $td£ 78 $/td£  $td£ 5.24% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Brandenberger $/td£ $td£ 28 $/td£  $td£ 1.88% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Fehr $/td£ $td£ 28 $/td£  $td£ 1.88% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Keller $/td£ $td£ 27 $/td£  $td£ 1.81% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Frauenfelder $/td£ $td£ 24 $/td£  $td£ 1.61% $/td£ $/tr£¢ $/table£"
"22",29,"Flurlingen",15,0.99,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 15 $/td£  $td£ 0.99% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Meier $/td£ $td£ 12 $/td£  $td£ 0.79% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Sauter $/td£ $td£ 11 $/td£  $td£ 0.73% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Weber $/td£ $td£ 11 $/td£  $td£ 0.73% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Gnädinger $/td£ $td£ 9 $/td£  $td£ 0.59% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Meyer $/td£ $td£ 9 $/td£  $td£ 0.59% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Schmid $/td£ $td£ 9 $/td£  $td£ 0.59% $/td£ $/tr£
¢ $/table£"
"23",31,"Henggart",35,1.51,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Frauenfelder $/td£ $td£ 35 $/td£  $td£ 1.51% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Keller $/td£ $td£ 29 $/td£  $td£ 1.25% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Müller $/td£ $td£ 26 $/td£  $td£ 1.12% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Schneider $/td£ $td£ 22 $/td£  $td£ 0.95% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Meier $/td£ $td£ 20 $/td£  $td£ 0.86% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Winkler $/td£ $td£ 20 $/td£  $td£ 0.86% $/td£ $/tr£¢ $/table£"
"24",33,"Kleinandelfingen",45,2.04,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Keller $/td£ $td£ 45 $/td£  $td£ 2.04% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Meier $/td£ $td£ 44 $/td£  $td£ 2% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Eigenheer $/td£ $td£ 27 $/td£  $td£ 1.23% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Müller $/td£ $td£ 22 $/td£  $td£ 1% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Schmid $/td£ $td£ 21 $/td£  $td£ 0.95% $/td£ $/tr£¢ $/table£"
"25",34,"Laufen-Uhwiesen",26,1.43,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Keller $/td£ $td£ 26 $/td£  $td£ 1.43% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Spiess $/td£ $td£ 18 $/td£  $td£ 0.99% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Schneider $/td£ $td£ 15 $/td£  $td£ 0.83% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Meier $/td£ $td£ 14 $/td£  $td£ 0.77% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Schmid $/td£ $td£ 14 $/td£  $td£ 0.77% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Werner $/td£ $td£ 14 $/td£  $td£ 0.77% $/td£ $/tr£¢ $/table£"
"26",35,"Marthalen",60,3.07,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Wipf $/td£ $td£ 60 $/td£  $td£ 3.07% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Nägeli $/td£ $td£ 49 $/td£  $td£ 2.51% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Spalinger $/td£ $td£ 35 $/td£  $td£ 1.79% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Keller $/td£ $td£ 34 $/td£  $td£ 1.74% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Frei $/td£ $td£ 23 $/td£  $td£ 1.18% $/td£ $/tr£¢ $/table£"
"27",37,"Ossingen",30,1.76,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Keller $/td£ $td£ 30 $/td£  $td£ 1.76% $/td£ $/tr£§ $tr£ $td£ 1. $/td£ $td£ Sigg $/td£ $td£ 30 $/td£  $td£ 1.76% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Neziraj $/td£ $td£ 23 $/td£  $td£ 1.35% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Müller $/td£ $td£ 17 $/td£  $td£ 1% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Jucker $/td£ $td£ 14 $/td£  $td£ 0.82% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Meier $/td£ $td£ 14 $/td£  $td£ 0.82% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Weber $/td£ $td£ 14 $/td£  $td£ 0.82% $/td£ $/tr£§ 
$tr£ $td£ 5. $/td£ $td£ Widmer $/td£ $td£ 14 $/td£  $td£ 0.82% $/td£ $/tr£¢ $/table£"
"28",38,"Rheinau",17,1.32,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Fischer $/td£ $td£ 17 $/td£  $td£ 1.32% $/td£ $/tr£§ $tr£ $td£ 1. $/td£ $td£ Meier $/td£ $td£ 17 $/td£  $td£ 1.32% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Reutemann $/td£ $td£ 16 $/td£  $td£ 1.24% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Aregger $/td£ $td£ 14 $/td£  $td£ 1.09% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Müller $/td£ $td£ 11 $/td£  $td£ 0.85% $/td£ $/tr£¢ $/table£"
"29",39,"Thalheim an der Thur",17,1.66,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Nom de famille $/th£ $th£ Total $/th£ $th£ Pourcentage d'habitants de la commune $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Frei $/td£ $td£ 17 $/td£  $td£ 1.66% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Schmid $/td£ $td£ 14 $/td£  $td£ 1.36% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Eckhardt $/td£ $td£ 12 $/td£  $td£ 1.17% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Ismaili $/td£ $td£ 11 $/td£  $td£ 1.07% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Schleuss $/td£ $td£ 11 $/td£  $td£ 1.07% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Widmer $/td£ $td£ 11 $/td£  $td£ 1.07% $/td£ $/tr£¢ $/table£"
