"","gdenr","gemeinde_d","value","pct_gde","top_names_table"
"11",11,"Ottenbach",38,1.33,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 38 $/td£  $td£ 1.33% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Hegetschweiler $/td£ $td£ 25 $/td£  $td£ 0.88% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Berli $/td£ $td£ 22 $/td£  $td£ 0.77% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Weber $/td£ $td£ 20 $/td£  $td£ 0.7% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Häberling $/td£ $td£ 18 $/td£  $td£ 0.63% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Sidler $/td£ $td£ 18 $/td£  $td£ 0.63% $/td£ $/tr£¢ $/table£"
"12",12,"Rifferswil",18,1.57,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 18 $/td£  $td£ 1.57% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Meier $/td£ $td£ 17 $/td£  $td£ 1.48% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Haller $/td£ $td£ 16 $/td£  $td£ 1.39% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Roth $/td£ $td£ 15 $/td£  $td£ 1.31% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Huber $/td£ $td£ 14 $/td£  $td£ 1.22% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Hurter $/td£ $td£ 14 $/td£  $td£ 1.22% $/td£ $/tr£¢ $/table£"
"13",13,"Stallikon",31,0.8,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 31 $/td£  $td£ 0.8% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Huber $/td£ $td£ 22 $/td£  $td£ 0.57% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Widmer $/td£ $td£ 18 $/td£  $td£ 0.47% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Gerber $/td£ $td£ 17 $/td£  $td£ 0.44% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Keller $/td£ $td£ 13 $/td£  $td£ 0.34% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Moser $/td£ $td£ 13 $/td£  $td£ 0.34% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Saner $/td£ $td£ 13 $/td£  $td£ 0.34% $/td£ $/tr£
¢ $/table£"
"14",14,"Wettswil am Albis",48,0.91,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 48 $/td£  $td£ 0.91% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Meier $/td£ $td£ 40 $/td£  $td£ 0.76% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Keller $/td£ $td£ 29 $/td£  $td£ 0.55% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Weber $/td£ $td£ 24 $/td£  $td£ 0.45% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Huber $/td£ $td£ 23 $/td£  $td£ 0.44% $/td£ $/tr£¢ $/table£"
"15",21,NA,18,2.55,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Huber $/td£ $td£ 18 $/td£  $td£ 2.55% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Moser $/td£ $td£ 17 $/td£  $td£ 2.4% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Waser $/td£ $td£ 17 $/td£  $td£ 2.4% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Meier $/td£ $td£ 12 $/td£  $td£ 1.7% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Ott $/td£ $td£ 11 $/td£  $td£ 1.56% $/td£ $/tr£¢ $/table£"
"16",22,"Benken ZH",29,3.42,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Strasser $/td£ $td£ 29 $/td£  $td£ 3.42% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Meister $/td£ $td£ 25 $/td£  $td£ 2.95% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Studer $/td£ $td£ 25 $/td£  $td£ 2.95% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Haupt $/td£ $td£ 20 $/td£  $td£ 2.36% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Moser $/td£ $td£ 13 $/td£  $td£ 1.53% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Müller $/td£ $td£ 13 $/td£  $td£ 1.53% $/td£ $/tr£¢ $/table£"
"17",23,"Berg am Irchel",41,6.93,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Fehr $/td£ $td£ 41 $/td£  $td£ 6.93% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Schmid $/td£ $td£ 24 $/td£  $td£ 4.05% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Kramer $/td£ $td£ 21 $/td£  $td£ 3.55% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Schneider $/td£ $td£ 20 $/td£  $td£ 3.38% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Keller $/td£ $td£ 14 $/td£  $td£ 2.36% $/td£ $/tr£¢ $/table£"
"18",24,"Buch am Irchel",32,3.08,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Brandenberger $/td£ $td£ 32 $/td£  $td£ 3.08% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Ganz $/td£ $td£ 24 $/td£  $td£ 2.31% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Weilenmann $/td£ $td£ 23 $/td£  $td£ 2.22% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Schurter $/td£ $td£ 16 $/td£  $td£ 1.54% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Keller $/td£ $td£ 14 $/td£  $td£ 1.35% $/td£ $/tr£¢ $/table£"
"19",25,"Dachsen",35,1.79,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 35 $/td£  $td£ 1.79% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Rubli $/td£ $td£ 30 $/td£  $td£ 1.54% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Frei $/td£ $td£ 21 $/td£  $td£ 1.08% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Schlatter $/td£ $td£ 17 $/td£  $td£ 0.87% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Meister $/td£ $td£ 16 $/td£  $td£ 0.82% $/td£ $/tr£¢ $/table£"
"20",26,"Dorf",18,2.53,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Roth $/td£ $td£ 18 $/td£  $td£ 2.53% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Müller $/td£ $td£ 13 $/td£  $td£ 1.83% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Arbenz $/td£ $td£ 12 $/td£  $td£ 1.69% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Moser $/td£ $td£ 12 $/td£  $td£ 1.69% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Keller $/td£ $td£ 10 $/td£  $td£ 1.4% $/td£ $/tr£¢ $/table£"
"21",27,"Feuerthalen",38,1.01,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 38 $/td£  $td£ 1.01% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Schmid $/td£ $td£ 34 $/td£  $td£ 0.9% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Fischer $/td£ $td£ 23 $/td£  $td£ 0.61% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Gasser $/td£ $td£ 23 $/td£  $td£ 0.61% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Grajçevci $/td£ $td£ 22 $/td£  $td£ 0.58% $/td£ $/tr£¢ $/table£"
"22",28,"Flaach",82,5.56,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Gisler $/td£ $td£ 82 $/td£  $td£ 5.56% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Fehr $/td£ $td£ 30 $/td£  $td£ 2.04% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Brandenberger $/td£ $td£ 29 $/td£  $td£ 1.97% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Keller $/td£ $td£ 27 $/td£  $td£ 1.83% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Frauenfelder $/td£ $td£ 24 $/td£  $td£ 1.63% $/td£ $/tr£¢ $/table£"
"23",29,"Flurlingen",13,0.86,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Meier $/td£ $td£ 13 $/td£  $td£ 0.86% $/td£ $/tr£§ $tr£ $td£ 1. $/td£ $td£ Müller $/td£ $td£ 13 $/td£  $td£ 0.86% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Sauter $/td£ $td£ 11 $/td£  $td£ 0.73% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Weber $/td£ $td£ 11 $/td£  $td£ 0.73% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Schmid $/td£ $td£ 10 $/td£  $td£ 0.66% $/td£ $/tr£¢ $/table£"
"24",30,NA,42,1.89,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Keller $/td£ $td£ 42 $/td£  $td£ 1.89% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Müller $/td£ $td£ 31 $/td£  $td£ 1.39% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Huber $/td£ $td£ 18 $/td£  $td£ 0.81% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Meier $/td£ $td£ 18 $/td£  $td£ 0.81% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Stegemann $/td£ $td£ 18 $/td£  $td£ 0.81% $/td£ $/tr£¢ $/table£"
"25",31,"Henggart",35,1.55,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Frauenfelder $/td£ $td£ 35 $/td£  $td£ 1.55% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Keller $/td£ $td£ 29 $/td£  $td£ 1.28% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Müller $/td£ $td£ 26 $/td£  $td£ 1.15% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Schneider $/td£ $td£ 22 $/td£  $td£ 0.97% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Meier $/td£ $td£ 21 $/td£  $td£ 0.93% $/td£ $/tr£¢ $/table£"
"26",32,NA,13,2.63,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Flacher $/td£ $td£ 13 $/td£  $td£ 2.63% $/td£ $/tr£§ $tr£ $td£ 1. $/td£ $td£ Keller $/td£ $td£ 13 $/td£  $td£ 2.63% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Freimüller $/td£ $td£ 7 $/td£  $td£ 1.42% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Farman $/td£ $td£ 6 $/td£  $td£ 1.21% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Graf $/td£ $td£ 6 $/td£  $td£ 1.21% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Meier $/td£ $td£ 6 $/td£  $td£ 1.21% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Moser $/td£ $td£ 6 $/td£  $td£ 1.21% $/td£ $/tr£§ 
$tr£ $td£ 4. $/td£ $td£ Noseda $/td£ $td£ 6 $/td£  $td£ 1.21% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Schneider $/td£ $td£ 6 $/td£  $td£ 1.21% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Streiff $/td£ $td£ 6 $/td£  $td£ 1.21% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Uhlmann $/td£ $td£ 6 $/td£  $td£ 1.21% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Urfer $/td£ $td£ 6 $/td£  $td£ 1.21% $/td£ $/tr£¢ $/table£"
"27",33,"Kleinandelfingen",47,2.21,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Meier $/td£ $td£ 47 $/td£  $td£ 2.21% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Keller $/td£ $td£ 45 $/td£  $td£ 2.11% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Eigenheer $/td£ $td£ 27 $/td£  $td£ 1.27% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Müller $/td£ $td£ 21 $/td£  $td£ 0.99% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Schmid $/td£ $td£ 21 $/td£  $td£ 0.99% $/td£ $/tr£¢ $/table£"
"28",34,"Laufen-Uhwiesen",27,1.52,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Keller $/td£ $td£ 27 $/td£  $td£ 1.52% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Spiess $/td£ $td£ 18 $/td£  $td£ 1.01% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Mändli $/td£ $td£ 17 $/td£  $td£ 0.95% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Werner $/td£ $td£ 14 $/td£  $td£ 0.79% $/td£ $/tr£§ $tr£ $td£ 4. $/td£ $td£ Witzig $/td£ $td£ 14 $/td£  $td£ 0.79% $/td£ $/tr£¢ $/table£"
"29",35,"Marthalen",62,3.18,"$table  border='1'£ $tr£ $th£ Rang $/th£ $th£ Familienname $/th£ $th£ Total $/th£ $th£ %-Anteil an der Gesamtbevölkerung $/th£ $/tr£ $tr£ $td£ 1. $/td£ $td£ Wipf $/td£ $td£ 62 $/td£  $td£ 3.18% $/td£ $/tr£§ $tr£ $td£ 2. $/td£ $td£ Nägeli $/td£ $td£ 50 $/td£  $td£ 2.56% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Keller $/td£ $td£ 38 $/td£  $td£ 1.95% $/td£ $/tr£§ $tr£ $td£ 3. $/td£ $td£ Spalinger $/td£ $td£ 38 $/td£  $td£ 1.95% $/td£ $/tr£§ $tr£ $td£ 5. $/td£ $td£ Frei $/td£ $td£ 26 $/td£  $td£ 1.33% $/td£ $/tr£¢ $/table£"
